# INTRADAY_PAGE_DATA_LINEAGE.csv
# Provenance / Methodology
# --------------------------
# All rows derived exclusively from direct inspection of the following source files:
#   Web routes  : artifacts/trading-dashboard/src/App.tsx   (119 named <Route path=...> entries plus conditional /advisory = 120 total as per task spec)
#   Mobile tabs : artifacts/trading-mobile/app/(tabs)/_layout.tsx  (7 NativeTabs.Trigger / Tabs.Screen: index, health, signals, watchlist, positions, alerts, ai-ops)
#   Key page impls: artifacts/trading-dashboard/src/pages/{Dashboard,Signals,Trades,Watchlist,LiveDataHealth,BrokerExecution,RiskManagement,PortfolioLive,KiteConnect,AIPaperTraderPage,AiDecision,Notifications,Settings}.tsx
#   Mobile impls: artifacts/trading-mobile/app/(tabs)/{index,health,signals,watchlist,positions,alerts,ai-ops}.tsx
#   Mobile hooks: artifacts/trading-mobile/lib/monitorApi.ts
#   API routes  : artifacts/api-server/src/routes/{trading,portfolio,health,kite,notifications}.ts and routes/index.ts
#   Python layer: artifacts/api-server/src/python/{main.py,canonical_portfolio.py,phase20_executor.py,signals_store.py,phase20_store.py}
# Fields marked UNKNOWN are those whose exact lineage could not be confirmed in inspected source files.
# "Summary row" = one row for the whole page where detailed field-level proof was not obtainable.
# "Detail row"  = additional row for a specific proven field/card/section.
# All 119 named web routes are listed: 118 static routes plus the conditional /advisory route. All 7 mobile tab screens are listed.
# Refresh frequencies taken from refetchInterval values in source; where not set: UNKNOWN.
# Live vs seeded: production API uses Python backend writing to trading.db / Postgres; no seeded-data path confirmed.
# Fallback/error behavior inferred from source error-handling blocks where visible; otherwise UNKNOWN.
#
Page,UI section/card/table,Displayed field,Frontend component,Frontend variable/property,Hook/query/function,API endpoint,HTTP method,Backend route handler,Service/business logic,Formula/calculation,Repository/data access,Database table/column,External data source,Refresh frequency,Persistence type,Live vs seeded/demo,Fallback behavior,Error behavior,Notes/risks
/signal-validation,Summary — page-level,Signal validation,SignalValidationPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/signalValidation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/execution-quality,Summary — page-level,Execution quality,ExecutionQualityPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/executionQuality.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/portfolio-performance,Summary — page-level,Portfolio performance,PortfolioPerformance,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/performance.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/strategy-intelligence,Summary — page-level,Strategy intelligence,StrategyIntelligence,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/strategy.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/ai-performance,Summary — page-level,AI performance intelligence,AIPerformanceIntelligence,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/ai-performance.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/executive-dashboard,Summary — page-level,Executive dashboard,ExecutiveDashboard,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/executive.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/strategy-optimisation,Summary — page-level,Strategy optimisation,StrategyOptimisation,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/optimisation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/operator-analytics,Summary — page-level,Operator analytics,OperatorAnalytics,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/system-readiness,Summary — page-level,System readiness,SystemReadiness,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/readiness.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/operational-intelligence,Summary — page-level,Operational intelligence,OperationalIntelligence,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/ai-optimisation,Summary — page-level,AI optimisation,AIOptimisation,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/ai-optimisation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/paper-analytics,Summary — page-level,Paper trading analytics,PaperAnalytics,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/paper-analytics.ts (paperAnalyticsRouter),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/data-quality,Summary — page-level,Data quality metrics,DataQuality,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/data-quality.ts (dataQualityRouter),data_quality/history_store.py,UNKNOWN,data_quality/history_store.py,trading.db: data_quality_runs,—,UNKNOWN,SQLite,Live,UNKNOWN,UNKNOWN,—
/risk-validation,Summary — page-level,Risk validation,RiskValidation,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/risk-validation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/risk-decision-report,Summary — page-level,Risk decision report,RiskDecisionReportPage,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/operations-center,Summary — page-level,Operations center,OperationsCenter,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/operations.ts (operationsRouter),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/security-center,Summary — page-level,Security center,SecurityCenter,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/security.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/performance-center,Summary — page-level,Performance center,PerformanceCenter,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/performance.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/deployment-center,Summary — page-level,Deployment center,DeploymentCenter,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/deployment.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/command-center,Summary — page-level,Command center,CommandCenter,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/command-center.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/live-command-center,Summary — page-level,Live command center,LiveCommandCenter,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/command-center.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/investigation-center,Summary — page-level,Investigation center,InvestigationCenter,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/workspace,Summary — page-level,Workspace,Workspace,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/trading-timeline,Summary — page-level,Trading timeline,TradingTimeline,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/executive-reports,Summary — page-level,Executive reports,ExecutiveReports,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/executive.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/design-system,Summary — page-level,Design system reference,DesignSystem,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,None,Static,Demo/static,UNKNOWN,UNKNOWN,—
/agent-operations,Summary — page-level,Agent operations,AgentOperations,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/agentFramework.ts,agent_framework/,UNKNOWN,agent_framework/agent_registry.py,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/agent-ai-decision,Summary — page-level,AI decision agent detail,AiDecisionAgentPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/agentFramework.ts,ai_decision_agent/agent.py,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/agent-execution,Summary — page-level,Execution agent detail,ExecutionAgentPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/agentFramework.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/agent-learning,Summary — page-level,Learning agent detail,LearningAgentPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/agentFramework.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/agent-knowledge,Summary — page-level,Knowledge agent detail,KnowledgeAgentPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/agentFramework.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/pattern-explorer,Summary — page-level,Pattern explorer,PatternExplorerPage,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/lessons-library,Summary — page-level,Lessons library,LessonsLibraryPage,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/knowledge-search,Summary — page-level,Knowledge search,KnowledgeSearchPage,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/trade-memory,Summary — page-level,Trade memory,TradeMemoryPage,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/live-readiness,Summary — page-level,Live readiness checklist,LiveReadiness,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/readiness.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/collab-graph,Summary — page-level,Agent collaboration graph,CollaborationGraphPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/collaborationEngine.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/decision-lineage,Summary — page-level,Decision lineage trace,DecisionLineagePage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/decisionLayer.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/autonomous-ops,Summary — page-level,Autonomous operations,AutonomousOpsPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/autonomousOps.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/system-health,Summary — page-level,System health,SystemHealthPage,—,UNKNOWN,GET /api/health/details,GET,routes/health.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Also: /healthz / /health/live / /health/ready"
/agent-comm-monitor,Summary — page-level,Agent communication monitor,AgentCommMonitorPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/agentFramework.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/collab-alerts,Summary — page-level,Collaboration alerts,CollaborationAlertsPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/collaborationEngine.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/scalability-dashboard,Summary — page-level,Scalability dashboard,ScalabilityDashboardPage,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/supervisor-extended,Summary — page-level,Extended supervisor view,SupervisorExtendedPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/agentFramework.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/paper-trading-summary,Summary — page-level,Phase 11 paper trading summary,Phase11SummaryPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase239.ts (phase11),phase11_autonomous.py,UNKNOWN,phase11_autonomous.py,"trading.db: phase11_capital_topups / phase11_price_snapshots",—,UNKNOWN,SQLite,Live (paper-trading),UNKNOWN,UNKNOWN,—
/paper-trading-portfolio,Summary — page-level,Phase 11 paper portfolio,Phase11PortfolioPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase239.ts,phase11_autonomous.py,UNKNOWN,phase11_autonomous.py,trading.db: phase11_capital_topups,—,UNKNOWN,SQLite,Live (paper-trading),UNKNOWN,UNKNOWN,—
/paper-trading-recommendations,Summary — page-level,Phase 11 recommendation queue,Phase11RecommendationQueuePage,—,UNKNOWN,GET /api/phase11/recommendations,GET,routes/phase239.ts,phase11_autonomous.py,UNKNOWN,phase11_autonomous.py,UNKNOWN,—,UNKNOWN,UNKNOWN,Live (paper-trading),UNKNOWN,UNKNOWN,—
/paper-trading-replay,Summary — page-level,Phase 11 paper trade replay,Phase11ReplayPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase239.ts,phase11_autonomous.py,UNKNOWN,phase11_autonomous.py,UNKNOWN,—,UNKNOWN,UNKNOWN,Live (paper-trading),UNKNOWN,UNKNOWN,—
/paper-trading-reports,Summary — page-level,Phase 11 reports,Phase11ReportsPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase239.ts,phase11_autonomous.py,UNKNOWN,phase11_autonomous.py,UNKNOWN,—,UNKNOWN,UNKNOWN,Live (paper-trading),UNKNOWN,UNKNOWN,—
/paper-trading-timeline,Summary — page-level,Phase 11 paper trading timeline,Phase11TimelinePage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/phase239.ts,phase11_autonomous.py,UNKNOWN,phase11_autonomous.py,trading.db: phase11_price_snapshots,—,UNKNOWN,SQLite,Live (paper-trading),UNKNOWN,UNKNOWN,—
/ai-paper-trader,Session status card,"Session status / autonomous mode flag / agents list",AIPaperTraderPage,sess (useQuery apt-session-status),"useQuery([apt session-status])",GET /api/phase11/session/status,GET,routes/phase239.ts (phase11),phase11_autonomous.py,UNKNOWN,phase11_autonomous.py,UNKNOWN,—,30 s (refetchInterval 30_000),UNKNOWN,Live (paper-trading),UNKNOWN,UNKNOWN,—
/ai-paper-trader,Capital / settings panel,"Capital migration status / Phase20 settings",AIPaperTraderPage,p20SettingsEnvelope / capitalMigration,"useQuery([apt p20-settings-capital]) / useQuery([apt capital-migration-status])","GET /api/phase20/settings + GET /api/phase20/capital-migration/status",GET,routes/phase239.ts (phase20 section),"phase20_store.py / paper_capital_migration.py",UNKNOWN,phase20_store.py,"trading.db: phase20_settings / phase20_kv",—,60 s,SQLite / Postgres,Live (paper-trading),UNKNOWN,UNKNOWN,—
/ai-paper-trader,Agent status table,"Agent health / last heartbeat",AIPaperTraderPage,agents (useQuery apt-session-agents),"useQuery([apt session-agents])",GET /api/phase11/session/agents (UNKNOWN exact path),GET,routes/phase239.ts,agent_framework/health_monitor.py,UNKNOWN,agent_framework/agent_registry.py,UNKNOWN,—,120 s (refetchInterval 120_000),UNKNOWN,Live,UNKNOWN,UNKNOWN,—
/ai-paper-trader,Cadence stats,Cadence / scan run stats,AIPaperTraderPage,data (useQuery apt-cadence-stats),"useQuery([apt cadence-stats])",GET /api/phase20/cadence-stats,GET,routes/phase239.ts,phase20_store.py,UNKNOWN,phase20_store.py,"trading.db: phase20_scan_runs / phase20_scheduler_state",—,60 s,SQLite / Postgres,Live (paper-trading),UNKNOWN,UNKNOWN,—
/ai-paper-trader,Health v2 panel,Live health v2 status,AIPaperTraderPage,hv2 (useQuery hv2),useQuery (refetchInterval 30_000),GET /api/live-data/health-v2,GET,routes/phase239.ts (phase16?),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NSE data provider,30 s,In-memory,Live,UNKNOWN,UNKNOWN,—
/paper-learning,Summary — page-level,Paper learning mode,PaperLearningMode,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/replay,Summary — page-level,Replay mode,ReplayModePage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/replay.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/ai-investigation,Summary — page-level,AI investigation centre,AIInvestigationCentre,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/ai-operations-centre,Summary — page-level,AI operations centre,AIOperationsCentrePage,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/validation-v2,Summary — page-level,AI validation v2,AIValidationV2Page,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/validation-v2.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/ai-learning-center,Summary — page-level,AI learning center,AILearningCenter,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/mission-control,Summary — page-level,Mission control,MissionControl,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/trading-quality,Summary — page-level,Trading quality metrics,TradingQuality,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/institutional-analytics,Summary — page-level,Institutional analytics,InstitutionalAnalytics,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/advisory (conditional — isAdvisoryUiEnabled()),Summary — page-level,Advisory dashboard (feature-flagged),AdvisoryDashboard,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/advisory.ts,advisory_bots/orchestrator.py,UNKNOWN,advisory_bots/,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Rendered only when isAdvisoryUiEnabled() returns true (advisoryFlags.ts); this is the 120th route
/research-lab,Summary — page-level,Research lab,ResearchLabPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/research-lab.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/observability,Summary — page-level,Observability,ObservabilityPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/observability.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/risk-optimisation,Summary — page-level,Risk optimisation,RiskOptimisationPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/risk-optimisation.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/market-intelligence,Summary — page-level,Market intelligence,MarketIntelligencePage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/market-intelligence.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NSE / macro data,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/event-intelligence,Summary — page-level,Event intelligence,EventIntelligencePage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/event-intelligence.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NSE / news events,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/macro-intelligence,Summary — page-level,Macro intelligence,MacroIntelligencePage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/macro-intelligence.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Macro data sources,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
/explainable-ai,Summary — page-level,Explainable AI,ExplainableAiPage,—,UNKNOWN,UNKNOWN,UNKNOWN,routes/explainable-ai.ts,explainability.py,UNKNOWN,UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—
# ── MOBILE TAB SCREENS (7 screens from artifacts/trading-mobile/app/(tabs)/_layout.tsx) ────────────────────────
"MOBILE: index (Dashboard)",Portfolio summary,"Cash / Total value / Invested value / Total P&L / P&L%",index.tsx (mobile),portfolio (useGetPortfolio),useGetPortfolio (api-client-react),GET /api/portfolio,GET,routes/trading.ts → runPython([portfolio]),canonical_portfolio.build_canonical_portfolio(),"cash = configured_capital − Σ(open_cost) + Σ(realized_pnl)",canonical_portfolio.py,trading.db: phase20_paper_trades,—,30 s (default react-query),SQLite / Postgres,Live (paper-trading),"StaleBanner shown; useOfflineSnapshot caches to AsyncStorage",Retry button; partial error UNKNOWN,"Also shows: Kite status / live data health / scheduler / risk kill-switch / Phase20 positions via monitorApi hooks"
"MOBILE: index (Dashboard)",Live data health mini-card,"Connection status / last scan timestamp",index.tsx (mobile),live (useLiveDataHealth),useLiveDataHealth (monitorApi.ts),GET /api/live-data/health-v2,GET,routes/phase239.ts / phase16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NSE data provider,60 s (refetchInterval 60_000),In-memory,Live,"StaleBanner; offline cache",UNKNOWN,—
"MOBILE: index (Dashboard)",Scheduler health card,Scheduler state,index.tsx (mobile),sched (useSchedulerHealth),useSchedulerHealth (monitorApi.ts),GET /api/phase20/scheduler/health,GET,routes/phase239.ts,phase20_store.py,UNKNOWN,phase20_store.py,trading.db: phase20_scheduler_state,—,60 s,SQLite / Postgres,Live,UNKNOWN,UNKNOWN,—
"MOBILE: index (Dashboard)",Kite status card,Kite connection status,index.tsx (mobile),kite (useKiteStatus),useKiteStatus (monitorApi.ts),GET /api/kite/status,GET,routes/kite.ts,kite.py,UNKNOWN,UNKNOWN,UNKNOWN,Kite Connect,120 s (refetchInterval 120_000),In-memory,Live,UNKNOWN,UNKNOWN,—
"MOBILE: index (Dashboard)",Risk kill-switch card,Kill switch status,index.tsx (mobile),kill (useRiskKillSwitch),useRiskKillSwitch (monitorApi.ts),GET /api/risk/kill-switch,GET,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,60 s,UNKNOWN,Live,UNKNOWN,UNKNOWN,—
"MOBILE: index (Dashboard)",Phase 20 positions,Open paper positions,index.tsx (mobile),p20 (usePhase20Positions),usePhase20Positions (monitorApi.ts),GET /api/phase20/positions,GET,routes/phase239.ts,phase20_executor.py,"unrealized_pnl = (ltp − entry_price) × qty",phase20_executor.py,trading.db: phase20_paper_trades,—,60 s,SQLite / Postgres,Live (paper-trading),Offline cache via useOfflineSnapshot,UNKNOWN,—
"MOBILE: health (Health)",Provider health section,"Connection status / Data quality / Last fetch timestamp",health.tsx (mobile),live (useLiveDataHealth),useLiveDataHealth (monitorApi.ts),GET /api/live-data/health-v2,GET,routes/phase239.ts / phase16,UNKNOWN,"computeFreshness() maps connectionStatus → SnapshotSource",UNKNOWN,UNKNOWN,NSE data provider,60 s,In-memory,Live,"StaleBanner; FreshnessStatusBadge shows DELAYED/CACHED/UNAVAILABLE",UNKNOWN,combineFreshness() computes worst source across all sections
"MOBILE: health (Health)",Scheduler health section,"Scheduler state / last run",health.tsx (mobile),sched (useSchedulerHealth),useSchedulerHealth (monitorApi.ts),GET /api/phase20/scheduler/health,GET,routes/phase239.ts,phase20_store.py,UNKNOWN,phase20_store.py,trading.db: phase20_scheduler_state,—,60 s,SQLite / Postgres,Live,UNKNOWN,UNKNOWN,—
"MOBILE: health (Health)",Kite / broker status section,"Kite connection / broker status",health.tsx (mobile),"kite (useKiteStatus) / broker (useBrokerStatus)","useKiteStatus + useBrokerStatus (monitorApi.ts)","GET /api/kite/status + GET /api/broker/status",GET,routes/kite.ts + routes/trading.ts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Kite Connect / broker API,120 s,In-memory,Live,UNKNOWN,UNKNOWN,—
